"Line #";"Designator";"Footprint";"Quantity";"Name";"Manufacturer Part Number 1"
"1";"J1, J2";"CON2_1X2_P163_VM";"2";"1-770872-0";"1-770872-0"
"2";"C1";"CAPC2013X145X20ML20";"1";"C2012X7S2A105K125AB";"C2012X7S2A105K125AB"
"3";"R1";"RESC2012X06N_HV";"1";"KTR10EZPF40R2";"KTR10EZPF40R2"
"4";"MP1";"LPA-C011301S-10";"1";"LPA-C011301S-10";"LPA-C011301S-10"
"5";"U1";"Microchip_C04-189_MFG";"1";"LR8K4-G";"LR8K4-G"
"6";"D1";"LEDC2012X135N_SM0805UGC(Primary)";"1";"SM0805HCL";"SM0805HCL"
