x,y,layer1,layer2,voltage1,voltage2,current
1005.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0194885,0.0187852,0.455231
1005.3,2464.7,TOP_LAYER,BOTTOM_LAYER,12.9656,12.9657,-0.0248159
1005.3,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9668,12.9668,-0.0440189
1005.3,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9681,12.968,0.0372405
1005.3,3064.7,TOP_LAYER,BOTTOM_LAYER,12.969,12.9688,0.125659
1055.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0183931,0.018174,0.14182
1055.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0187974,0.0182056,0.38303
1105.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0180523,0.0178874,0.106706
1105.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0183097,0.0175462,0.494213
1155.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0177484,0.0176035,0.0937981
1155.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0178914,0.0175089,0.247587
1205.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0175488,0.0172787,0.174832
1205.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0176748,0.0167875,0.574333
1255.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0170916,0.0167434,0.225424
1255.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0171057,0.0165455,0.36263
1305.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0168718,0.016374,0.322271
1305.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.016925,0.0157869,0.736665
1355.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.016718,0.0161329,0.378731
1355.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.016699,0.0159057,0.513471
1405.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0165384,0.0157151,0.53291
1405.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0165975,0.0151135,0.960502
1425.3,3814.7,TOP_LAYER,BOTTOM_LAYER,0.0100247,0.00986623,0.102552
1425.3,3899.7,TOP_LAYER,BOTTOM_LAYER,0.0100273,0.00986688,0.103857
1443.92,2376.08,TOP_LAYER,BOTTOM_LAYER,0.0132022,0.0132022,6.07277e-15
1455.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0163566,0.0151109,0.806291
1455.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0163309,0.0148203,0.977761
1504.74,3260.26,TOP_LAYER,BOTTOM_LAYER,13.1436,13.1436,1.72768e-11
1542.39,4176.9,TOP_LAYER,BOTTOM_LAYER,13.1413,13.1413,1.21768e-11
1936.09,4176.9,TOP_LAYER,BOTTOM_LAYER,13.1676,13.1676,1.21768e-11
1955.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00750543,0.00857753,-0.69394
1955.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00729487,0.00814022,-0.547172
2005.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00728995,0.00784306,-0.358015
2005.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00712785,0.0075696,-0.285931
2013.92,2851.08,TOP_LAYER,BOTTOM_LAYER,0.007299,0.00761417,-0.551661
2013.92,3146.36,TOP_LAYER,BOTTOM_LAYER,13.1701,13.1701,2.48741e-11
2055.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.007252,0.00780716,-0.359342
2055.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00705088,0.00741084,-0.232988
2105.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00686092,0.00734197,-0.311373
2105.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00667903,0.00712169,-0.28652
2155.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00671355,0.00708457,-0.240151
2155.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00653792,0.00674224,-0.132251
2205.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00643857,0.00665385,-0.139343
2205.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.006273,0.00650603,-0.150837
2255.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00627668,0.0066011,-0.209986
2255.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00611104,0.00627933,-0.108925
2305.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00575109,0.00614513,-0.25505
2305.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00560368,0.00603356,-0.278244
2355.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00553733,0.005866,-0.212742
2355.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00535693,0.00553015,-0.11212
2405.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00518607,0.00538978,-0.131856
2405.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00504152,0.00530724,-0.171993
2455.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00498771,0.00536084,-0.241515
2455.3,2664.7,TOP_LAYER,BOTTOM_LAYER,0.00475634,0.00495629,-0.129422
2505.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00428751,0.00479799,-0.330421
2505.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00414486,0.00470936,-0.365384
2555.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00413668,0.00462747,-0.317676
2568.65,2682.93,TOP_LAYER,BOTTOM_LAYER,0.00359279,0.00388052,-0.251356
2568.65,3292.93,TOP_LAYER,BOTTOM_LAYER,13.1758,13.1772,-1.18301
2597.47,2613.33,TOP_LAYER,BOTTOM_LAYER,0.00317386,0.00367081,-0.434135
2597.47,2752.53,TOP_LAYER,BOTTOM_LAYER,0.00330329,0.00373389,-0.376172
2597.47,3223.33,TOP_LAYER,BOTTOM_LAYER,13.1763,13.1772,-0.803863
2597.47,3362.53,TOP_LAYER,BOTTOM_LAYER,13.1758,13.1771,-1.14033
2655.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00362751,0.00421863,-0.382616
2667.07,2584.5,TOP_LAYER,BOTTOM_LAYER,0.00263693,0.0030538,-0.364168
2704.54,2645.46,TOP_LAYER,BOTTOM_LAYER,0,0.00139835,-7.92981
2667.07,2781.35,TOP_LAYER,BOTTOM_LAYER,0.00294199,0.00351545,-0.500973
2667.07,3194.5,TOP_LAYER,BOTTOM_LAYER,13.1768,13.1775,-0.659253
2704.54,3255.46,TOP_LAYER,BOTTOM_LAYER,13.18,13.179,5.9101
2667.07,3391.35,TOP_LAYER,BOTTOM_LAYER,13.1768,13.1776,-0.73381
2736.67,2613.33,TOP_LAYER,BOTTOM_LAYER,0.00224788,0.00299608,-0.653628
2736.67,2752.53,TOP_LAYER,BOTTOM_LAYER,0.00257042,0.00309859,-0.461406
2736.67,3223.33,TOP_LAYER,BOTTOM_LAYER,13.1772,13.1776,-0.360383
2736.67,3362.53,TOP_LAYER,BOTTOM_LAYER,13.1767,13.1776,-0.711257
2755.3,2464.7,TOP_LAYER,BOTTOM_LAYER,0.00321564,0.00391301,-0.451393
2765.5,2682.93,TOP_LAYER,BOTTOM_LAYER,0.00234164,0.00280519,-0.404952
2765.5,3292.93,TOP_LAYER,BOTTOM_LAYER,13.1773,13.1777,-0.318199
2805.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00293673,0.00343239,-0.320831
2805.3,2764.7,TOP_LAYER,BOTTOM_LAYER,0.00280185,0.00328651,-0.313708
2875.52,1817.63,TOP_LAYER,BOTTOM_LAYER,0.00616959,0.00616959,-8.07974e-15
2885.52,4152.63,TOP_LAYER,BOTTOM_LAYER,13.1707,13.1707,1.65473e-11
