refdes,pin,voltage,current
A1,3,13.18,20.0
A1,4,0.0,-20.0
J2,1,12.9606,-20.0
J2,2,0.0269384,20.0
L2,1,13.1592,-19.9044
L2,2,13.1542,19.9044
F1,3,13.1187,-9.7576
F1,1,13.1203,-10.2424
F1,4,13.0569,9.48154
F1,2,13.0536,10.5185
R14,1,13.0431,-20.0
R14,2,12.9831,20.0
R4,1,13.167,-0.0955666
R4,2,13.1432,0.0955666
