vrefdes,vpin,refdes,pin
VCOMP0,0,A1,3
VCOMP0,1,A1,4
VCOMP1,0,J2,1
VCOMP1,1,J2,2
VCOMP2,0,L2,1
VCOMP2,1,L2,2
VCOMP3,0,F1,3
VCOMP3,1,F1,1
VCOMP3,2,F1,4
VCOMP3,3,F1,2
VCOMP4,0,R14,1
VCOMP4,1,R14,2
VCOMP5,0,R4,1
VCOMP5,1,R4,2
