refdes,pin,voltage,current
A1,3,13.18,20.0
A1,4,0.0,-20.0
J2,1,12.9548,-20.0
J2,2,0.0273775,20.0
L2,1,13.1593,-19.9047
L2,2,13.1543,19.9047
F1,3,13.1188,-9.7576
F1,1,13.1204,-10.2424
F1,4,13.0569,9.52141
F1,2,13.0539,10.4786
R14,1,13.0432,-20.0
R14,2,12.9832,20.0
R4,1,13.1671,-0.0952878
R4,2,13.1433,0.0952878
