refdes,pin,voltage,current
L1,2,4.9995,0.5
PS2,2,0.0,-0.25
PS2,6,0.0,-0.25
FB2,1,4.99657,-0.3
U4,13,0.00215011,0.0599817
U4,15,0.00215725,0.0599688
U4,16,0.00217381,0.059939
U4,14,0.00208508,0.0600987
U4,25,0.00213353,0.0600115
U11,8,4.99726,-0.05
U11,4,0.00167247,0.05
U1,5,4.99757,-0.05
U1,2,0.000879506,0.05
U3,5,4.99714,-0.05
U3,3,0.00106682,0.05
U6,7,4.9973,-0.025
U6,8,4.9973,-0.025
U6,4,0.00102729,0.0499999
