vrefdes,vpin,refdes,pin
VCOMP0,0,J14,1
VCOMP0,1,J14,2
VCOMP1,0,J9,3
VCOMP1,1,J9,4
VCOMP1,2,J9,15
VCOMP1,3,J9,16
VCOMP1,4,J9,1
VCOMP1,5,J9,2
VCOMP1,6,J9,13
VCOMP1,7,J9,24
VCOMP1,8,J9,25
