refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,13.13,20,0.0025
VCOMP0,VCOMP0-1,0.05,-20,0.0025
VCOMP1,VCOMP1-0,13.1139,-5.04431,0.0222222
VCOMP1,VCOMP1-1,13.1139,-5.04756,0.0222222
VCOMP1,VCOMP1-2,13.1118,-4.94983,0.0222222
VCOMP1,VCOMP1-3,13.1119,-4.95831,0.0222222
VCOMP1,VCOMP1-4,0.0640022,4.07276,0.0222222
VCOMP1,VCOMP1-5,0.0645632,4.04752,0.0222222
VCOMP1,VCOMP1-6,0.0660757,3.97946,0.0222222
VCOMP1,VCOMP1-7,0.0663668,3.96636,0.0222222
VCOMP1,VCOMP1-8,0.0670878,3.93391,0.0222222
