refdes,pin,voltage,current
J14,1,13.13,20.0
J14,2,0.05,-20.0
J9,3,13.1139,-5.04431
J9,4,13.1139,-5.04756
J9,15,13.1118,-4.94983
J9,16,13.1119,-4.95831
J9,1,0.0640022,4.07276
J9,2,0.0645632,4.04752
J9,13,0.0660757,3.97946
J9,24,0.0663668,3.96636
J9,25,0.0670878,3.93391
