refdes,pin,voltage,current
A1,3,13.18,20.0
A1,4,0.0,-20.0
J2,1,12.9445,-20.0
J2,2,0.0269384,20.0
JP1,2,13.15,-20.0
JP1,1,13.1458,20.0
F1,3,13.1026,-9.77477
F1,1,13.1041,-10.2252
F1,4,13.0408,9.48154
F1,2,13.0375,10.5185
R14,1,13.027,-20.0
R14,2,12.967,20.0
