refdes,pin,voltage,current
L1,2,4.9995,0.5
PS2,2,0.0,-0.25
PS2,6,0.0,-0.25
FB2,1,4.99629,-0.3
U4,13,0.00223267,0.0599873
U4,15,0.00224289,0.0599689
U4,16,0.00226037,0.0599375
U4,14,0.00216512,0.0601089
U4,25,0.00222719,0.0599972
U11,8,4.997,-0.05
U11,4,0.00213479,0.05
U1,5,4.99748,-0.05
U1,2,0.000964809,0.05
U3,5,4.99688,-0.05
U3,3,0.00202559,0.05
U6,7,4.99703,-0.025
U6,8,4.99703,-0.025
U6,4,0.00103387,0.0499999
